DOC.ID,Proj.ID,Lake.ID,Site,Date.Sample,Time.Sample,Depth.Class,Depth.Top..m.,Depth.Bot..m.,Rep,Comments,DOC_mgL,TN_mgL,flag
269,21,MO,Inlet2,6/19/2014,8:00,Surface,0,0,1,,24.79945134,0.814751358,0
270,21,MO,Inlet2,6/19/2014,8:00,Surface,0,0,2,,27.300594,NA,0
271,21,MO,Inlet3,6/19/2014,8:00,Surface,0,0,1,,52.32403633,NA,0
272,21,MO,Inlet3,6/19/2014,8:00,Surface,0,0,2,,53.7499706,NA,0
273,17,BR,DeepHole,6/19/2014,8:50,PML,0,1.5,1,,11.32616949,NA,0
274,17,BR,DeepHole,6/19/2014,8:50,PML,0,1.5,2,,11.13838619,NA,0
275,17,BR,DeepHole,6/19/2014,8:50,Hypo,4.5,4.5,1,,11.18210459,NA,0
276,17,BR,DeepHole,6/19/2014,8:50,Hypo,4.5,4.5,2,,12.62429737,NA,0
277,17,BA,DeepHole,6/19/2014,10:30,PML,0,3,1,,8.561667895,NA,0
278,17,BA,DeepHole,6/19/2014,10:30,PML,0,3,2,,8.644136665,0.373082728,0
279,17,BA,DeepHole,6/19/2014,10:30,Hypo,10,10,1,,7.849790763,NA,0
280,17,BA,DeepHole,6/19/2014,10:30,Hypo,10,10,2,,5.981537643,NA,0
281,15,HB,WC1,6/19/2014,17:00,Surface,0,0,1,,22.9596471,NA,0
282,15,HB,WC1,6/19/2014,17:00,Surface,0,0,2,,23.45051404,NA,0
283,17,NG,DeepHole,6/20/2014,8:40,PML,0,0.5,1,,26.04927367,NA,0
