Project ID,Isotope ID,Date time,Lake ID,Site,Depth class,Depth (m),Volume Filtered (mL),sample type,comments
16,P-0860,7/26/13 11:30,HB,Deep Hole,Hypo,3.5,140,Filter ,
16,P-0861,7/23/13 11:15,BR,Deep Hole,PML,0-2,-,Particulate,
16,P-0862,7/23/13 11:15,BR,Deep Hole,Hypo,4,-,Particulate,
19,P-0863,7/29/13 9:30,ER,Deep Hole,PML,0-4,150,Filter ,
19,P-0864,7/29/13 10:45,BV,Deep Hole,PML,0-10,150,Filter ,
19,P-0865,7/29/13 12:15,AQ,Deep Hole,PML,0-4,150,Filter ,
16,P-0866,7/29/13 11:00,RE,Deep Hole,PML,0-0.5,120,Filter ,
16,P-0867,7/29/13 11:00,RE,Deep Hole,Hypo,3,120,Filter ,
20,P-0868,7/29/13 12:30,BA,dark control,Epi,0.5,200,Filter ,
20,P-0869,7/29/13 12:30,BA,dark control,Hypo,4,200,Filter ,
20,P-0870,7/29/13 12:30,BA,dark 3,Epi,0.5,200,Filter ,
20,P-0871,7/29/13 12:30,BA,dark 3,Hypo,4,200,Filter ,
20,P-0872,7/29/13 12:30,BA,dark 6,Epi,0.5,200,Filter ,
20,P-0873,7/29/13 12:30,BA,dark 6,Hypo,4,200,Filter ,
20,P-0874,7/29/13 12:30,BA,dark 12,Epi,0.5,200,Filter ,
